# Standard Solar Model [BP98, Phys. Lett. B, 433 (1998) 1-8]
#
# Columns in the Standard Model table (below) represent:
#
# 1)  Mass fraction in units of the solar mass
# 2)  Radius of the zone in units of one solar radius
# 3)  Temperature in units of deg (K)
# 4)  Density in units of g/cm^3
# 5)  Pressure in units of dyn/cm^2
# 6)  Luminosity fraction in units of the solar luminosity
# 7)  X(^1H): the hydrogen mass fraction
# 8)  X(^4He): the helium 4 mass fraction
# 9)  X(^3He): the helium 3 mass fraction
# 10) X(^12C): the carbon 12 mass fraction
# 11) X(^14N): the nitrogen 14 mass fraction
# 12) X(^16O): the oxygen 16 mass fraction
#
# The Table begins here.
# 
0.0108143  0.04798  1.496E+07  1.294E+02  2.017E+17  0.08725  0.40331  0.57561  1.31E-05  2.23E-05  5.56E-03  9.90E-03
0.0130017  0.05124  1.486E+07  1.268E+02  1.979E+17  0.10334  0.41126  0.56768  1.40E-05  2.19E-05  5.53E-03  9.92E-03
0.0156315  0.05475  1.475E+07  1.239E+02  1.936E+17  0.12216  0.42007  0.55888  1.52E-05  2.15E-05  5.50E-03  9.95E-03
0.0185098  0.05821  1.464E+07  1.210E+02  1.893E+17  0.14216  0.42897  0.55000  1.63E-05  2.11E-05  5.47E-03  9.96E-03
0.0214764  0.06146  1.454E+07  1.183E+02  1.851E+17  0.16215  0.43748  0.54151  1.76E-05  2.07E-05  5.45E-03  9.98E-03
0.0245325  0.06455  1.443E+07  1.157E+02  1.811E+17  0.18214  0.44567  0.53334  1.89E-05  2.03E-05  5.43E-03  9.99E-03
0.0276798  0.06751  1.433E+07  1.132E+02  1.773E+17  0.20214  0.45358  0.52544  2.02E-05  2.00E-05  5.41E-03  1.00E-02
0.0309208  0.07038  1.423E+07  1.108E+02  1.735E+17  0.22213  0.46125  0.51778  2.16E-05  1.96E-05  5.39E-03  1.00E-02
0.0342580  0.07315  1.413E+07  1.084E+02  1.699E+17  0.24213  0.46872  0.51033  2.30E-05  1.93E-05  5.38E-03  1.00E-02
0.0376950  0.07586  1.403E+07  1.062E+02  1.663E+17  0.26212  0.47600  0.50306  2.45E-05  1.90E-05  5.36E-03  1.00E-02
0.0412353  0.07852  1.393E+07  1.040E+02  1.627E+17  0.28212  0.48312  0.49596  2.61E-05  1.87E-05  5.35E-03  1.00E-02
0.0448832  0.08113  1.383E+07  1.018E+02  1.593E+17  0.30211  0.49009  0.48900  2.78E-05  1.84E-05  5.34E-03  1.00E-02
0.0486435  0.08371  1.374E+07  9.976E+01  1.559E+17  0.32211  0.49693  0.48217  2.96E-05  1.81E-05  5.33E-03  1.00E-02
0.0525213  0.08626  1.364E+07  9.772E+01  1.525E+17  0.34211  0.50366  0.47547  3.14E-05  1.78E-05  5.32E-03  1.00E-02
0.0565226  0.08880  1.354E+07  9.571E+01  1.492E+17  0.36211  0.51027  0.46887  3.34E-05  1.75E-05  5.32E-03  1.00E-02
0.0606538  0.09133  1.344E+07  9.374E+01  1.459E+17  0.38211  0.51678  0.46237  3.55E-05  1.73E-05  5.31E-03  1.00E-02
