80.55145	383688.11591806717
80.87206	383112.6245909515
81.19266	382533.90351444006
81.51326	381952.0219403852
81.83386	381366.9381589828
82.15446	380778.69547794596
82.47506	380187.153599266
82.79566000000001	379592.42534436996
83.11626	378994.35793691117
83.43686	378393.1049249485
83.75747000000001	377788.48371144733
84.07807	377180.62945793127
84.39867	376569.3640087037
84.71927000000001	375954.8224368198
85.03987000000001	375336.82775628514
85.36046999999999	374715.50177459646
85.68106999999999	374090.7779771212
86.00167	373462.6594881284
86.32228	372831.1444705875
86.64288	372196.1618639854
86.96348	371557.7537388125
87.28408	370915.87717503344
87.60468	370270.4636032886
87.92528	369621.5533090901
88.24588	368969.1475008454
88.56648	368313.2026330904
88.88708	367653.59050104406
89.20769	366990.49831484846
89.52829	366323.7270068289
89.84889000000001	365653.37817745196
90.16949	364979.3182413379
90.49009	364301.5915390283
90.81069	363620.227256988
91.13129	362935.19686500187
91.45189	362246.3598871828
91.7725	361553.7852517447
92.0931	360857.4713540364
92.4137	360157.34952981095
92.7343	359453.4607119297
93.0549	358745.6917175945
93.3755	358034.0158349975
93.6961	357318.5296901705
94.0167	356599.1063112068
94.33731	355875.8034801421
94.65790999999999	355148.4932847709
94.97851	354417.2049753725
95.29911	353681.93653324124
95.61971	352942.66074486915
95.94031	352199.3075121644
96.26091000000001	351451.904439176
96.58151000000001	350700.3950711888
96.90211	349944.73648553144
97.22272	349184.92810607905
97.54332	348420.9004859416
97.86392	347652.6684032968
98.18452	346880.2866501845
98.50512	346103.5171082135
98.82572	345322.56953702215
99.14632	344537.2057090908
99.46692	343747.52376926475
99.78752999999999	342953.4245219625
100.1081	342154.9779671678
100.4287	341352.04474105535
100.7493	340544.62362258515
101.0699	339732.7142233788
101.3905	338916.28818174003
101.7111	338095.20454006107
102.0317	337269.6032087831
102.3523	336439.2746426363
102.6729	335604.35870078136
102.9935	334764.6862383934
103.3141	333920.2859930868
103.6347	333071.10074780835
103.9553	332217.089298535
104.2759	331358.2496916181
104.5965	330494.4845397456
104.9171	329625.7929359114
105.2377	328752.10500388837
105.5583	327873.46126557974
105.8789	326989.779327766
106.1995	326100.97363608325
106.5202	325207.000579751
106.8408	324307.8622373637
107.1614	323403.55620874994
107.482	322493.95718428504
107.8026	321579.0502169824
108.1232	320658.77862828464
108.4438	319733.142766955
108.7644	318802.0294756987
109.085	317865.4808084802
109.4056	316923.3279300089
109.7262	315975.6395478597
110.0468	315022.23531789385
110.3674	314063.19672025734
110.688	313098.3842255483
111.0086	312127.82533185655
111.3292	311151.393487055
111.6498	310169.04582839564
111.9704	309180.683880801
112.291	308186.34887669084
112.6116	307185.9290558256
112.9322	306179.3944867139
113.2528	305166.60645561677
113.5734	304147.60461202305
113.894	303122.27779346873
114.2146	302090.5680465097
114.5352	301052.4055466381
114.8558	300007.69122594036
115.1764	298956.4111752707
115.497	297898.4805454034
115.8176	296833.7852105767
116.1382	295762.3269003561
116.4588	294683.97659357236
116.7794	293598.6654040617
117.1	292506.3915318573
117.4206	291406.9447788109
117.7412	290300.2677360094
118.0618	289186.4167690124
118.3824	288065.1656704712
118.703	286936.51469590893
119.0236	285800.2806167559
119.3442	284656.47655381577
119.6648	283504.8924659602
119.9854	282345.5678387485
120.306	281178.36273011845
120.6266	280003.1088178684
120.9472	278819.73460047145
121.2678	277628.21066050045
121.5884	276428.3690649085
121.909	275220.09557889414
122.2296	274003.305950709
122.5502	272777.81694591057
122.8708	271543.64254859963
123.1914	270300.59773140587
123.512	269048.48690754944
123.8326	267787.2798220539
124.1532	266516.7949013849
124.4738	265236.9733448896
124.7944	263947.5759496205
125.115	262648.5047581549
125.4356	261339.68795586107
125.7562	260020.88699096866
126.0768	258691.93035794137
126.3974	257352.79112456294
126.718	256003.15779177562
127.0386	254642.96077995934
127.3592	253272.04364662216
127.6798	251890.1246318414
128.0004	250497.13382402842
128.321	249092.7728750501
128.6416	247677.0007820535
128.9622	246249.52098155164
129.2828	244810.1216447348
129.6034	243358.57679954992
129.924	241894.80145440798
130.2446	240418.4424680296
130.5652	238929.31780226345
130.8858	237427.11631780726
131.2064	235911.7248032458
131.527	234382.74821619847
131.8476	232840.0592918271
132.1682	231283.22094031633
132.4888	229712.09208794625
132.8094	228126.30651771187
133.13	226525.5535046312
133.4507	224909.5931862923
133.7713	223278.02982000957
134.0919	221630.4845450686
134.4125	219966.6462807001
134.7331	218286.1900244035
135.0537	216588.59599898607
135.3743	214873.63655070352
135.6949	213140.76314176657
136.0155	211389.56682658166
136.3361	209619.65308615493
136.6567	207830.50023100476
136.9773	206021.54550567226
137.2979	204192.4079053608
137.6185	202342.4119958984
137.9391	200471.0219946755
138.2597	198577.68913397522
138.5803	196661.7368661122
138.9009	194722.53273328504
139.2215	192759.2882185292
139.5421	190771.39792307123
139.8627	188758.04588437724
140.1833	186718.40182973794
140.5039	184651.5668629345
140.8245	182556.7093619287
141.1451	180432.77628373468
141.4657	178278.78262728162
141.7863	176093.65999579473
142.1069	173876.1444349813
142.4275	171625.16704084934
142.7481	169339.20313698618
143.0687	167017.04727824288
143.3893	164656.98130571214
143.7099	162257.55887075106
144.0305	159816.89395341583
144.3511	157333.14834645414
144.6717	154804.32687184855
144.9923	152228.12401435792
145.3129	149602.20925899746
145.6335	146923.9411646179
145.9541	144190.50837269524
146.2747	141398.63761644007
146.5953	138545.01682314798
146.9159	135625.79442482442
147.2365	132636.71884241232
147.5571	129573.12505042332
147.8777	126429.72173671843
148.1983	123200.65031543288
148.5189	119879.12937934656
148.8395	116457.71265952791
